,EN/TL,Note
33,"Caption 1:
Kakayanin ba ng current system mo ang shopping season? 🤔💰 Sulitin ang 'Ber Months with StoreHub. 🎄✨

Manage transactions and promotions easily with our POS na perfect for fast-paced retail and F&B businesses. ✔

Automate your inventory tracking so you don't go out of stock at the wrong time. ✔

Don't wait - Sign up for a demo of StoreHub POS today!

Caption 2:
Huwag malugi sa 'Ber Months! Get a POS system na kayang-kaya ang holiday rush! 💰💰

Manage transactions and promotions easily with our POS na perfect for fast-paced retail and F&B businesses. ✔

Automate your inventory tracking so you don't go out of stock at the wrong time. ✔

Don't wait - Sign up for a demo of StoreHub POS today!

Caption 3:
It's that time of the year again! 🧐🎄 Make the most of the holiday rush with StoreHub POS. 

Manage transactions and promotions easily with a system that's built for fast-paced retail and F&B businesses. ✔

Automate your inventory tracking so you don't go out of stock at the wrong time. ✔

Don't wait - Sign up for a demo of StoreHub POS today!",Ber Months
34,"Caption 1:
Ready na ba ang F&B or retail business mo for the Ber months? 🎄 

'Wag magpahuli! In this video, we’ve rounded up the top 3 tips you need to do so you can increase your sales through the holiday rush.

Caption 2:
Meron ka bang F&B or retail business?! Dapat ngayon palang nagreready ka na sa holiday shopping season! 🎄

If you want to really boost your sales, watch this video.


Caption 3:
Do you have an F&B or retail business and want to boost your sales this holiday season? 🎄

Make sure you watch this and make preparations before it's too late! ",Ber Months Preparation (S0)
35,"Caption 1:

From just ₱63/day get an all-in-one POS to manage your restaurant and personal life.

As a busy working mom and business owner, running a coffee shop can be a challenge. But with the help of StoreHub's cloud-based POS, managing F&B businesses at Brewers-Haven has never been easier for Loraine Consunji.

She can do the following anytime and anywhere:
☕️Track inventory
📈View real-time sales reports
👤 Manage staff attendance

Want to be as business and tech-savvy as her?

Book a free demo today and see how our POS can change the way you run your business.


Caption 2: 
""It's also our financial system. StoreHub has been very useful in giving those analytics and reports.""

Loraine Consunji shares how StoreHub made it easier for her monitor and manage F&B stores at Brewers-Haven. With our cloud-based POS, you can do the following:

☕️Track inventory
📈 Get real-time sales reports
👤 Manage staff attendance
💻 Remote access

Grow your F&B business in the coming months with StoreHub POS. Book a free demo today!",Brewers-Haven
36,"Caption 1: 

Sa mahal ng bilihin ngayon, make sure you don't waste your restaurant's key ingredients! 😰🍚🧅

With StoreHub's inventory tracking, you can...
✅ You can keep track of the ingredients for your dishes
✅ Automatically know if you're low in stock
✅ Save money by preventing overpurchasing

Find out more about how StoreHub POS can help you run a more efficient business. Book a free demo today! 


Caption 2:
How do you cope with food inflation as a restaurant owner? 😰🍚🧅

You need to make sure all your key ingredients are tracked accurately and real-time. 

You can do that with StoreHub's POS system. 💪

With StoreHub's inventory tracking, you can...
✅ You can keep track of the ingredients for your dishes
✅ Automatically know if you're low in stock
✅ Save money by preventing overpurchasing

Find out more about how StoreHub POS can help you run a more efficient business. Book a free demo today! ",Composite Inventory
37,"Caption 1: 
Why is StoreHub POS the system of choice for restaurant owners? 🤔

StoreHub gives restaurant owners peace of mind and all the data they need, even when they're not always at their store. 🌍 

Just listen to these top F&B entrepreneurs to learn more about how StoreHub has helped them 💕
 
Inspired ka na? Book a free demo of StoreHub today.

Caption 2:
What’s the secret to having a successful restaurant? 🤔

It’s having a reliable system to manage everything for you, wherever you are.   🌍

Just take it from these successful F&B entrepreneurs who trust StoreHub POS to grow their business! 💕

Want to be like them? Book a free demo of StoreHub today.

Caption 3:
Ano ba ang secret ng mga successful restaurant businesses? 🤔

It’s having a reliable system to manage everything for you, wherever you are.   🌍

Just take it from these successful F&B entrepreneurs who trust StoreHub POS to grow their business! 💕

Want to be like them? Book a free demo of StoreHub today.",Merchant Testimonial Video V2
38,"Caption 1: 

Managing a retail store with hundreds of SKUs is now super easy with StoreHub POS. ✨

Now you can...

✔ Automate inventory management
✔ Get alerts when stocks are low
✔ Process customer transactions quickly (no lag!)
✔ Check your store's inventory and sales data on your phone
✔ Manage employee shifts... and more!

Modernize your retail store operations with StoreHub. Book a demo today. 💪


Caption 2:
If you're managing a retail store with hundreds of SKUs, StoreHub is the POS system for you. 👌

Now you can...

✔ Automate inventory management
✔ Get alerts when stocks are low
✔ Process customer transactions quickly (no lag!)
✔ Check your store's inventory and sales data on your phone
✔ Manage employee shifts... and more!

Modernize your retail store operations with StoreHub. Book a demo today. 💪


Caption 3: 
Tired of slow, manual process and poor inventory tracking at your retail store? Then check out StoreHub POS! 👀

Now you can...

✔ Automate inventory management
✔ Get alerts when stocks are low
✔ Process customer transactions quickly (no lag!)
✔ Check your store's inventory and sales data on your phone
✔ Manage employee shifts... and more!

Modernize your retail store operations with StoreHub. Book a demo today. 💪",Recommended for Retail Testimonial
39,"**Ad Headline should include 'StoreHub is a BIR Accredited POS' since we don't have BIR logo on this video

Caption 1
Is your F&B or retail store ready for the holidays? Make the switch to StoreHub. Your life will be much easier. ✨

You’ll be able to…
✔Monitor sales and store performance, even remotely
✔ Easily sync multiple devices and printers to your POS
✔ Have automated and real-time inventory reporting

Now you can focus on growing your business without the hassle of errors and manual work. 💪

Interested? Book a demo today to explore all our features!

Caption 2
Do you own an F&B or retail store and still use pen and paper? Make the switch to StoreHub. Your life will be much easier. ✨

You’ll be able to have the perks of a modern POS like...
✔ Composite inventory
✔ Barcode scanning
✔ Real-time stock updates
✔ Remote sales monitoring
✔ Multiple device and printer syncing

All on one platform! 💪✨

Now you can focus on growing your business without the hassle of errors and manual work. 

Interested? Book a demo today to explore all our features!

Caption 3
Hate getting stuck in traffic just to check on your store? 😣  Make your life as an F&B or retail business owner much easier with StoreHub POS. 💪✨

You’ll be able to...
✔ Monitor sales and store performance, even remotely
✔ Easily sync multiple devices and printers to your POS
✔ Have automated and real-time inventory reporting

Eliminate time wasted on manual work and focus on the things that matter. 😇

Interested? Book a demo today to explore all our features!

Caption 4
Hate delaying your travel plans because you need to manually audit your store? 😫 Make your life as an F&B or retail business owner much easier with StoreHub POS.
You’ll be able to...
✔ Monitor sales and store performance, even remotely
✔ Easily sync multiple devices and printers to your POS
✔ Have automated and real-time inventory reporting

Eliminate time wasted on manual work and focus on the things that matter. 😇

Interested? Book a demo today to explore all our features!",Don't Switch to StoreHub Video V1
40,"Caption 1:
It's that time of the year again! 🧐🎄 Make the most of the holiday rush at your F&B or retail store with StoreHub POS. 

Handle increased demand easily. ✔

Manage your stores from anywhere and see sales data from any device. ✔

Update your inventory with new items in just a few seconds. ✔

Automate your inventory tracking so you don't go out of stock at the wrong time. ✔

Don't wait - Sign up for a demo of StoreHub POS today!


Caption 2:
Sobrang stressed ka ba about your business kasi end of year na? With StoreHub, you can have hassle-free operations at your store and focus on sales! ✨

Handle increased demand easily. ✔

Manage your stores from anywhere and see sales data from any device. ✔

Update your inventory with new items in just a few seconds. ✔

Automate your inventory tracking so you don't go out of stock at the wrong time. ✔

Don't wait - Sign up for a demo of StoreHub POS today!


Caption 3:
Need to go out of town during the holiday season but you still need to manage your store? 😥 You can get peace of mind about your store operations with StoreHub. ✨

With StoreHub, you can...

Manage your stores from anywhere and see sales data from any device. ✔

Update your inventory with new items in just a few seconds. ✔

Automate your inventory tracking so you don't go out of stock at the wrong time. ✔

Handle increased demand easily with a POS that's built for fast-paced retail and F&B businesses. ✔

Don't wait - Sign up for a demo of StoreHub POS today!",End of Year Stress
41,"Caption 1: Grabe ang traffic pag holiday season 🤦‍♀️ It would be nice if you could just manage your business from anywhere, right? 👀 

Access all your sales, employee shifts, and inventory, from your phone with the StoreHub POS System. 🤩 

Hindi mo na kailangan mastuck sa traffic just to check your stores. And may time ka na to focus on more important things for your business. 💰💰 

Book a StoreHub demo today! 


Caption 2: We can’t make traffic go away, but we can help you manage your business from anywhere. 👀 

Access all your sales and inventory data, employee shifts, and more, from your phone with the StoreHub POS System. ✨ 

You can spend more time growing your business 💰 and not stuck on the road! 😎 

Book a StoreHub demo today! 


Caption 3: What if you can spend less time sitting in traffic 😪, and more time making strategic decisions for your business? 👀 

You can do that with the StoreHub POS! 

Sales and inventory data, employee shifts, and more, are all accessible from anywhere, on any device. 🤩 

Manage your business from anywhere, and make every second of the day count! 💪 

Book a StoreHub demo today!",Eddon Multi-Store Management V2 
42,"Caption 1:
Seeing strange, spooky things happening at your restaurant? 👻  
Say goodbye to lost inventory, disappearing cash, and mysterious sales data with StoreHub's cloud-based POS. 🧙‍♀️
🦇 Don't let business horrors haunt you. Get StoreHub for a stress-free experience. 🎩
👉 Sign up for a StoreHub demo today! 🎃  🕸️ 

Caption 2:
Are problems haunting your restaurant business? 🧟
🍔 If you're a restaurant owner facing mysteries like lost inventory, missing cash, or strange sales reports, it's time to get StoreHub! 💰
🦇 This Halloween, treat yourself to the #1 cloud-based POS system. 
👉 Get a StoreHub demo today! 🎃

Caption 3:
May mga kababalaghan ba sa F&B biz mo? Wala ‘yan with StoreHub POS.  📦 
Say goodbye to lost inventory, disappearing cash, and mysterious sales data with StoreHub's cloud-based POS. 🧙‍♀️
🦇 Don't let business horrors haunt you. Get StoreHub for a stress-free experience. 🎩
👉 Get a StoreHub demo today! 🎃 

Caption 4:
🕸️ May katakot-takot ba na problems ba sa F&B biz mo? 🧟 Wala ‘yan with StoreHub POS.  📦 
Say goodbye to lost inventory, disappearing cash, and mysterious sales data with StoreHub's cloud-based POS. 🧙‍♀️
🦇 Don't let business horrors haunt you. Get StoreHub for a stress-free experience. 🎩
👉 Get a StoreHub demo today! 🎃 ",Halloween
43,"Caption 1:
🔥 Attention all restaurant owners!

 Turn your restaurant into a profit machine! 📈
🔹 BIR Accredited POS System 📋
🔹 Monitor Sales Anytime, Anywhere 📊
🔹 Simple Setup for All Staff ⚙️

Ready to boost your restaurant's efficiency?   📌 Sign up for a StoreHub POS demo today!


Caption 2:
🗨️ ""Anyone can get on it, learn it for 5 minutes, and it's straight to the point."" - Lui Clavano of Wagyu Studio

🔥 Discover Why Wagyu Studio Trusts StoreHub POS!

✅ BIR Accreditation
📊 Remote Monitoring & Analytics
⏱️ Easy Implementation
 Ready to boost your restaurant's efficiency?   📌 Sign up for a free StoreHub POS demo today!


Caption 3:
🎙️ ""Even when we're not here, we can monitor sales and item performance seamlessly with StoreHub."" - LA Clavano of Wagyu Studio
🔹 BIR Accreditation for Compliance 📋
🔹 Real-time Remote Monitoring & Analytics 📊
🔹 Easy-to-Implement Solution ⚙️

🚀 Revolutionize Your Restaurant Operations with StoreHub POS! Sign up for a free demo today!


Caption 4:
💡 Discover Why Wagyu Studio Chose StoreHub POS! 🍽️
🔹 BIR Accreditation ✅
🔹 Remote Monitoring & Analytics 📊
🔹 Easy Implementation ⏱️

🗣️ Hear it from the owners themselves in this video!  

Inspired now?  

🚀 Revolutionize Your Restaurant Operations with StoreHub POS. Sign up for a free demo today!",Wagyu Studio Testimonial
44,"Caption 1: 

🔥 Attention all restaurant owners! What's the secret to staying profitable even with inflation? 

With StoreHub's inventory tracking, you can...
✅ You can keep track of the ingredients for your dishes
✅ Automatically know if you're low in stock
✅ Save money by preventing overpurchasing

Find out more about how StoreHub POS can help you run a more efficient business. Book a free demo today! 


Caption 2:
How do you cope with food inflation as a restaurant owner? 😰🍚🧅

You need to make sure all your key ingredients are tracked accurately and real-time. 

You can do that with StoreHub's POS system. 💪

With StoreHub's inventory tracking, you can...
✅ You can keep track of the ingredients for your dishes
✅ Automatically know if you're low in stock
✅ Save money by preventing overpurchasing

Find out more about how StoreHub POS can help you run a more efficient business. Book a free demo today! ",Composite Inventory V3
45,"Headlines: All-in-One POS Limited Time Offer
🚨 Last Chance! This Offer Ends Soon 🚨
#1 BIR Accredited Cloud POS
20,000PHP OFF
The Ultimate Restaurant POS


Caption 1:
🔥 Restaurant owners, here's a limited time offer for you! 🔥

Give yourself and your business an early Christmas gift. 🎁

Now you can manage your restaurant remotely, empower staff members, and get peace of mind. 🌟

StoreHub All-in-One POS is the full system that turns your F&B business into a profit powerhouse! 

Don't miss out! 🚀 Sign up for a demo now!


Caption 2:
🔥 Restaurant owners, here's a limited time offer for you! 🔥

Imagine being able to manage your restaurant remotely, empower staff members, and have peace of mind. 🌟

StoreHub All-in-One POS can do that, and more, for your F&B business! 🔑💼

Elevate your game with this unbeatable offer. 🚀 Sign up for a demo today!


Caption 3:
⏰ Time's Ticking: Unlock the Ultimate F&B Solution Now!

Bakit ka pa bibili ng ibang POS brand when StoreHub has it all? 🤔💰

Hindi lang siya POS. Pati sales, inventory, and marketing meron din. Parang secret weapon na ng business mo! 🔑💼

Elevate your game with this unbeatable offer. 🚀 Sign up for a demo today!


Caption 4:
⏰ Time's Ticking: Unlock the Ultimate F&B Solution Now!

Imagine being able to manage your restaurant remotely, empower staff members, and have peace of mind. 🌟

StoreHub All-in-One POS can do that, and more, for your F&B business! 🔑💼

Elevate your game with this unbeatable offer. 🚀 Sign up for a demo today!
",Q4 Promo
46,"Taglish version 1: 

🔊 Mga restaurant owners! Curious ka ba paano mag-manage ng restaurant kahit di ka na nagbabantay everyday? 👀

With StoreHub POS, you can: 
✅ Access your sales and inventory from anywhere
✅ Manage employee attendance
✅ Monitor cash register use
✅ Manage orders from Foodpanda (no manual punching in required!)

I-level na ang business mo! Sign up for a free StoreHub POS demo today! 

Taglish version 2:
🔊 Mga restaurant owners! Curious ka ba paano mag-manage ng restaurant kahit di ka pumupunta doon every day? 👀

✅ Ma-access ang sales at inventory kahit saan
✅ I-track ang attendance ng employees mo
✅ Bantayan ang paggamit ng cash register
✅ I-manage ang orders galing sa Foodpanda (walang need mag-manual input!)

I-level na ang business mo! Sign up for a free StoreHub POS demo today! ",Manage Restaurant Effectively V2
47,"StoreHub vs Legacy POS Blog Post
https://www.storehub.com/ph/blog/storehub-vs-legacy-pos-system/

Creative: StoreHub vs Legacy POS

Headline: StoreHub vs Cash Register
Storehub vs Legacy POS
Cloud Based vs Cash Register
Cloud Based vs Legacy POS

Caption 1:
Restaurant owners: ano ba ang difference between a traditional POS and a cloud-based POS like StoreHub?   Do you know which one is cheaper? 🤔 
 Read this article to find out, and to help you choose the right system for your business! 🚀
 
Caption 2:
Mas mura ba ang StoreHub POS compared sa regular na cash register? Ano nga ba ang difference? 🤔
Read this article to learn more! 💡

Caption 3:
Restaurant owners: are you still using a traditional cash register or POS?  What’s the benefit of using a cloud-based solution like StoreHub POS?  🤔   

Read this article to learn more, and find out which one saves you more money! 
",Legacy POS Comparison
48,"StoreHub vs Utak POS Blog Post
https://www.storehub.com/ph/blog/storehub-vs-utak/

Creative: StoreHub vs Utak

Headline: Choose the Best POS for You
The Ultimate POS Comparison

1. Don’t buy a POS System before reading this! 👀👇

Click here to compare details like pricing, hardware, and software for StoreHub and other local brands.
 
2. How does StoreHub POS compare with other POS brands? 👀👇 Get the full details here so you can make the best decision. Compare pricing, hardware, software features, and more!

3. Want to choose the best POS System for your F&B business? 👀👇 Click to see how StoreHub compares to other brands. Get the full details like pricing, hardware, software features, and more!
",UTAK Comparison
49,"Headline: Kaya ba ng free POS ang restaurant mo? 🤔
Free vs Advanced POS Software 🤔
Free POS vs StoreHub: Make the right choice
Brand L POS vs StoreHub POS

Caption:
1. 📣 Restaurant owners! Should you use a free, basic POS or a POS with more advanced features? 🤔 Read this first to avoid costly mistakes! 👀

Get the full feature comparison here between StoreHub and other POS solutions so you can make the best decision. Compare pricing, hardware, software features, and more!

2. Can a free POS software handle your busy restaurant or cafe business? 🤔  Read this first to avoid costly mistakes! 👀

Get the full feature comparison here between StoreHub and other POS solutions so you can make the best decision. Compare pricing, hardware, software features, and more!

3. Thinking of using a free POS software for your restaurant? 👀 Read this first! 

Get the full feature comparison here between StoreHub and other POS solutions so you can make the best decision. Compare pricing, hardware, software features, and more!

4. 📣 Restaurant owners! Do you know there are a hidden costs with free POS software? 👀 Read this first to see if it's the best choice for your restaurant business!

Compare pricing, hardware, software features, and more!",Loyverse Comparison
50,"Caption 1: StoreHub POS can power your restaurant and cafe business starting from just 63pesos/day. The Ultimate POS System, Simplified

Caption 2: Looking for the most reliable POS system in the Philippines? 🧐

With StoreHub, everything about running your business and keeping your customers happy is hassle-free. 😎

Sign up for a free demo of StoreHub POS today.👇


Caption 3: Bakit ka pa bibili ng ibang POS brand when StoreHub has it all? 🤔💰

Hindi lang siya POS. Pati sales, inventory, and marketing meron din. Parang secret weapon na ng business mo! 🔑💼

Sign up for a demo of StoreHub today and start leveling up your business! 👨‍💼📈



Caption 4: Say goodbye to frustration and say hello to MORE SALES. 💰💰

With StoreHub POS system and Back Office, lahat magagawa mo na. Sales, inventory, analytics, marketing - all in one place.

Sign up for a free demo of StoreHub today!",VP Video Copy
51,"
Caption 1: 
Grabe na lang ang traffic araw-araw. 🤦‍♀️ It would be nice if you could just manage your business from anywhere, right? 👀

Access all your sales, employee shifts, and inventory, just from your phone or laptop with the StoreHub POS System. 🤩

Hindi mo na kailangan mastuck sa traffic just to check your stores. And may time ka na to focus on more important things for your business. 💰💰

Book a StoreHub demo today!

Caption 2:
Pasko (at traffic) nanaman muli! 🎄😮‍💨

We can’t make traffic go away, but we can help you manage your business from anywhere. 👀

Access all your sales and inventory data, employee shifts, and more, just from your phone or laptop with the StoreHub POS System. ✨

You can spend more time on the important things ❤️ this Christmas season and not stuck on the road! 😎

Book a StoreHub demo today!",Skip the traffic copy
52,"Caption 1:
🌟 Restaurant owners, gift yourself the joy of family time this festive season! 🎁

 With StoreHub's Cloud POS, you can step away from the daily grind and into the warmth of family gatherings. 🏠👨‍👩‍👧‍👦 

Check sales, track inventory, and monitor staff performance right from your phone. 📊📲. You’re always up to date, even without being at your store.  

✨ Spend less time on manual work and more time on the important things 🎉🌟

Book your StoreHub POS demo today!


Caption 2:
Attention, Filipino restaurant owners! 🌟 This holiday season, take control of your time.  

With StoreHub's Cloud POS, manage your F&B business from anywhere. 🌍👩‍💼

No more missing family dinners or important milestones. Check sales, track inventory, and monitor staff performance right from your phone. 📊📲 

🎅🏼 Make this Christmas about important connections. StoreHub gives you the freedom to be a business owner and a family person. 🎄❤️ 

Sign up for a demo now and unwrap a world of possibilities! 🚀🎁


Caption 3:
No more missing family dinners or important milestones. With StoreHub's Cloud POS, manage your F&B business from anywhere. 🌍👩‍💼

  Check sales, track inventory, and monitor staff performance right from your phone. 📊📲

🎅🏼 Make this Christmas about important connections. StoreHub gives you the freedom to be a business owner and a family person. 🎄❤️ 

Sign up for a demo now and unwrap a world of possibilities! 🚀🎁

",Christmas - Dream Outcome + Capability
53,"Caption 1: Are you a restaurant owner looking for a POS system? Here are 3 things you need to know first so you don't make the wrong, expensive decision! 👀

Caption 2: Restaurant owner ka ba na looking for a POS system? Bago gumastos, watch this video muna 👀 so you can make the right decision, and hindi sayang ang budget mo!",3 things you need to know
54,"Caption 1: 
Why is StoreHub POS the system of choice for restaurant owners? 🤔

StoreHub gives restaurant owners peace of mind and all the data they need, even when they're not always at their store. 🌍 

Just listen to these top F&B entrepreneurs to learn more about how StoreHub has helped them 💕
 
Inspired ka na? Book a free demo of StoreHub today.

Caption 2:
What’s the secret to having a successful restaurant? 🤔

It’s having a reliable system to manage everything for you, wherever you are.   🌍

Just take it from these successful F&B entrepreneurs who trust StoreHub POS to grow their business! 💕

Want to be like them? Book a free demo of StoreHub today.

Caption 3:
Ano ba ang secret ng mga successful restaurant businesses? 🤔

It’s having a reliable system to manage everything for you, wherever you are.   🌍

Just take it from these successful F&B entrepreneurs who trust StoreHub POS to grow their business! 💕

Want to be like them? Book a free demo of StoreHub today.

Caption 4:
15,000+ business owners in the Philippines and across Southeast Asia choose StoreHub POS. 

Why? 🤔

StoreHub is the all-in-one POS system that you can trust to manage everything for you, wherever you are. 🌍

Just take it from these successful F&B entrepreneurs who trust StoreHub POS to grow their business! 💕
",Merchant Mashup MY PH
55,"Caption 1:
For 63 pesos per day lang, you can get the best POS System in the Philippines para sa mga cafes ug restaurants. The complete POS System, made simple na. 💪✨ 

Caption 2:
📣 Attention all restaurant owners!
Nangita ka ba sa most reliable nga POS system sa Pilipinas? 🧐
Sa StoreHub, ang pagdagan sa imong business ug pagpasaya sa imong mga kustomer, walay hasol. 😎
Mag-sign up na para sa libre nga demo sa StoreHub POS karon.


Caption 3:
📣 Attention all restaurant owners!
Nganong mopalit pa man ug lain nga POS brand kung ang StoreHub kompleto na? 🤔💰
Dili lang POS ni. Apil na ang sales, inventory, ug marketing. Sama ra sa secret weapon sa imong negosyo! 🔑💼
i-level up na imong business 👨‍💼📈! Mag-sign up na para sa demo sa StoreHub!


Caption 4:
📣 Attention all restaurant owners!
Goodbye sa frustration ug hello sa MAS DAGHANG SALES. 💰💰
Sa StoreHub POS system ug Back Office, tanan mahimo na nimo. Sales, inventory, analytics, marketing - naa na tanan sa usa ka lugar.
Mag-sign up na para sa libre nga demo sa StoreHub!",Generic Cebuano ad copy
56,"Caption 1 
Ngano nga StoreHub POS ang top choice sa mga restaurant owners? 🤔
StoreHub gives peace of mind sa mga tag-iya sa restaurant ug tanan data nga kinahanglan, even kung dili sila kanunay sa ilang store. 🌍
Paminaw sa mga top F&B entrepreneurs to learn more unsaon pagtabang sa StoreHub sa ilaha 💕
Inspired na ka? Book a free demo of StoreHub today.

Caption 2
""What’s the secret sa pagka-successful sa imong restaurant? 🤔
It’s having a reliable system nga mag-manage sa tanan para nimo, wherever you are. 🌍
Just listen to these successful F&B entrepreneurs nga nag-trust sa StoreHub POS to grow their business! 💕
Want to be like them? Book a free demo of StoreHub today.""

Caption 3
Unsa'y secret sa mga successful restaurant businesses? 🤔
It’s having a reliable system nga mag-manage sa tanan para nimo, wherever ka man. 🌍
Just listen to these successful F&B entrepreneurs nga nag-trust sa StoreHub POS for their business growth! 💕
Want to be like them? Book a free demo of StoreHub today.

Caption 4 Translation
15,000+ business owners sa Philippines ug across Southeast Asia choose StoreHub POS.
Why kaha? 🤔
StoreHub is the all-in-one POS system nga pwede nimo saligan to manage everything for you, bisan asa ka pa. 🌍
Just listen to these successful F&B entrepreneurs nga nag-trust sa StoreHub POS to grow their business! 💕",Cebuano Merchant videos copy
57,"1: Want to Know Your Restaurant's Sales While on the Go? 🚶‍♂️💼

Keep track of your restaurant's performance from anywhere with StoreHub POS!

Our easy-to-use Manager App lets you see real-time sales, inventory, and cash register data.

Get peace of mind without being on-site.

With StoreHub, managing your restaurant is easy and stress-free.

Take control from your phone today. 📱✨

Get a StoreHub demo today!



2. How's Your Restaurant Doing Right Now? 🤔🏪 Find out instantly with StoreHub POS!

Our Manager App brings your restaurant's data to your fingertips.

Track sales, monitor products, and see cashier activities - all in real-time.

Managing your restaurant effectively has never been easier.

Discover the ease of StoreHub.

Get started with a demo today!



3. [Taglish copy T1 only]
🔊 Mga restaurant owners! Curious ka ba paano mag-manage ng restaurant kahit di ka na nagbabantay everyday? 👀

With StoreHub POS, you can: 
✅ Access your sales and inventory from anywhere
✅ Manage employee attendance
✅ Monitor cash register use
✅ Manage orders from Foodpanda (no manual punching in required!)

I-level na ang business mo! Sign up for a free StoreHub POS demo today! 



4.  [Taglish copy T1 only] 

🔊 Restaurant Owners! Need a Break but Worried About Your Business? 🏖️🚀

Hindi ka na mapapa-""sanaol"" with StoreHub POS!

Keep an eye on your restaurant's sales and operations, right from your phone. 📱✨

Our Manager App gives you real-time updates, for your peace of mind.

Stay in the loop, wherever you are, with StoreHub.

Simplify your restaurant management today.

Schedule a demo today!




5. [Cebuano copy T2/T3 Only]
🔥 Restaurant Owners! Gusto ba Nimong Ma-check ang Sales sa Imong Restawran Bisag On-the-Go ka? 🚶‍♂️💼

Track sa imong restaurant's performance bisan asa with StoreHub POS!

Ang among easy-to-use nga Manager App, makita nimo ang live sales, inventory, ug cash register data.

Chill ka lang, dili kinahanglan nga naa ka pirme on-site.

With StoreHub, chill ra ang pag-manage sa imong restawran.

Take control gamit ang imong phone today. 📱✨

Try our StoreHub demo na!",Manage Restaurant Effectively V3
58,"1: Have Multiple Restaurants and Can't Be Everywhere at Once? 🤔🌍

Check out StoreHub's All-in-One POS! 

Our BackOffice system lets you manage ALL your restaurants in 1 place. 

👀 Monitor sales data, inventory, attendance, from any device, anytime you want. 

It's like being in every place at once, but way easier. Keep everything running smooth without the stressful travel time.

With StoreHub, expanding your restaurant business is hassle-free. So book a demo today!


2. Overwhelmed by running multiple restaurants? Are your sales records getting chaotic? 🌟🏃‍♂️

Our BackOffice system lets you manage ALL your restaurants in 1 place. 

👀 Monitor sales data, inventory, attendance, from any device, anytime you want. 

It's like being in every place at once, but way easier. Keep everything running smooth without the stressful travel time.

With StoreHub, expanding your restaurant business is hassle-free. So book a demo today!


3. 🔥 Attention all restaurant owners!

Manage multiple stores without the stress, and watch your profits grow with StoreHub POS! 📈
🔹 BIR Accredited POS System 📋
🔹 Monitor Sales Anytime, Anywhere 📊
🔹 Simple Setup for All Staff ⚙️

Ready to grow your restaurant business? 📌 Sign up for a StoreHub POS demo today!",Best for multiple stores
59,"Cebuano (T2 only): 

Overwhelmed ba ka sa pag-manage sa mga restaurants? Nag-gubot ba imong sales records? 🌟🏃‍♂️

Ang among BackOffice system lets you manage ALL imong restaurants in 1 place lang.

👀 Monitor imong sales data, inventory, attendance, from any device, anytime you want.

It's like being in every place at once, pero mas easy ra. Keep everything running smooth without the stressful travel time.

With StoreHub, ang pag-expand sa imong restaurant business is hassle-free. So, book a demo today!""**


Tagalog (T1 only):
Pagod na sa pag-manage ng multiple restaurants? Sobrang gulo na ba ng records nyo? 😥

Our BackOffice system lets you manage ALL your restaurants in 1 place. 

👀 Monitor sales data, inventory, attendance, from any device, anytime you want. 

It's like being in every place at once, but way easier. Keep everything running smooth without the stressful travel time.

With StoreHub, expanding your restaurant business is hassle-free. So book a demo today!","Sugar and I (Taglish, Cebuano)"
60,"1:
Restaurant Owners, Show Your Business Some Love This Valentine's Day with StoreHub POS. 🌹 

StoreHub All-in-One makes the everyday hustle for you and your team easier and more efficient.  

From streamlined sales processing to effortless inventory reporting and management, let StoreHub be the heart of your business. ❤️

 Give the gift that keeps on giving! Sign up for a free demo of StoreHub POS today.   

2: 
Hey Restaurant Owners! ❤️ This Valentine's, let your team feel na valued sila. ✨

Get rid of tedious manual work with StoreHub POS and make every workday smoother and more efficient. 

  From quick and easy sales handling to automated inventory reporting, make StoreHub the heart of your business. 💕
 
Give the gift that keeps on giving! Sign up for a free demo of StoreHub POS today. 

3: 
 Hey Restaurant Owners! Love is in the air! 💕 So make sure your business operations is at its best. ✨  

With StoreHub's POS system, you can focus more on creating those perfect Valentine's moments for your customers. 

  From fast operations to keeping your inventory stocked with your customers’ favorites, StoreHub has you covered. Not just on Valentine’s Day, but from now on 🌹 Who said #walangforever? 

Let StoreHub be the heart of your business. Sign up for a free demo of StoreHub POS today.  
    ",Valentine's Day
61,"1: 🔈 Restaurant owners, are your customers complaining about slow service? 😫 
It's time to make the switch to a fast, all-in-one POS system that can do all the hard work for YOU. 

With StoreHub, you can:
💻 Easily take orders no matter how complicated they are
👌 Sync orders with a kitchen printer
🧾 Print Official Receipts (OR) because we're BIR Accredited
☁️ Enjoy cloud-based features that let you manage your business, wherever you are!
🤩 Access real-time data and sales in just one platform

Sign up to book your FREE demo today!

2: 🔈 Restaurant owners. Don't keep your customers waiting! 😫 

(Unless you like bad reviews!)

It's time to make the switch to a fast, all-in-one POS system that can do all the hard work for YOU. 

With StoreHub, you can:
💻 Easily take orders no matter how complicated they are
👌 Sync orders with a kitchen printer
🧾 Print Official Receipts (OR) because we're BIR Accredited
☁️ Enjoy cloud-based features that let you manage your business, wherever you are!
🤩 Access real-time data and sales in just one platform

Sign up to book your FREE demo today!",Angry Customers
